Tree ID,Day,Hour,Total Sunlight Collected over Day,Sunlight Collected,Total Cell Count,Branch Cell Count,Leaf Cell Count,Width of Tree,Height of Tree,Sunlight over Total Cells,Sunlight over Total Leaf Cells,Age,Growth Iterations,Fitness
Plant 1_0,0,1,3,3,0,0,0,4.858634,14.20726,0,0,1,2,3
Plant 2_0,0,1,3,3,1,1,0,4.197357,20.8275,3,0,1,2,3
Plant 3_0,0,1,0,0,0,0,0,7.531281,11.99969,0,0,1,2,0
Plant 4_0,0,1,0,0,0,0,0,3.918777,9.893363,0,0,1,2,0
Plant 5_0,0,1,3,3,1,1,0,2.263275,7.064137,3,0,1,2,3
Plant 6_0,0,1,0,0,1,1,0,3.129913,16.01948,0,0,1,2,0
Plant 7_0,0,1,0,0,0,0,0,4.640503,10.1102,0,0,1,2,0
Plant 8_0,0,1,0,0,0,0,0,1.600983,4.833092,0,0,1,2,0
Plant 9_0,0,1,0,0,4,4,0,7.572281,13.93157,0,0,1,2,0
Plant 10_0,0,1,0,0,1,1,0,4.852997,9.767274,0,0,1,2,0
Plant 11_0,0,1,0,0,1,1,0,3.369797,8.630378,0,0,1,2,0
Plant 12_0,0,1,0,0,0,0,0,3.651991,14.7788,0,0,1,2,0
Plant 13_0,0,1,0,0,0,0,0,3.214878,5.491262,0,0,1,2,0
Plant 14_0,0,1,3,3,0,0,0,3.856155,9.743243,0,0,1,2,3
Plant 15_0,0,1,3,3,0,0,0,4.623108,6.611663,0,0,1,2,3
Plant 16_0,0,1,0,0,0,0,0,5.033073,9.217804,0,0,1,2,0
Plant 17_0,0,1,6,6,0,0,0,5.521614,12.5266,0,0,1,2,6
Plant 18_0,0,1,0,0,1,1,0,4.36795,10.4513,0,0,1,2,0
Plant 19_0,0,1,0,0,0,0,0,2.359917,8.669008,0,0,1,2,0
Plant 20_0,0,1,6,6,0,0,0,4.576279,12.81767,0,0,1,2,6
Plant 21_0,0,1,6,6,0,0,0,7.10022,10.80111,0,0,1,2,6
Plant 22_0,0,1,0,0,1,1,0,3.121857,9.367741,0,0,1,2,0
Plant 23_0,0,1,0,0,1,1,0,4.848268,20.51145,0,0,1,2,0
Plant 24_0,0,1,0,0,0,0,0,9.507107,17.70095,0,0,1,2,0
Plant 25_0,0,1,0,0,1,1,0,4.232628,8.910336,0,0,1,2,0
Plant 26_0,0,1,0,0,1,1,0,2.510513,16.83098,0,0,1,2,0
Plant 27_0,0,1,3,3,1,1,0,2.918495,21.46455,3,0,1,2,3
Plant 28_0,0,1,0,0,0,0,0,4.300873,8.779944,0,0,1,2,0
Plant 29_0,0,1,0,0,1,1,0,1.798798,4.157838,0,0,1,2,0
Plant 30_0,0,1,3,3,1,1,0,3.074371,18.56219,3,0,1,2,3
Plant 31_0,0,1,0,0,0,0,0,2.023361,5.532539,0,0,1,2,0
Plant 32_0,0,1,0,0,4,4,0,4.015579,8.67561,0,0,1,2,0
Plant 33_0,0,1,3,3,0,0,0,6.541116,10.71023,0,0,1,2,3
Plant 34_0,0,1,0,0,0,0,0,5.619385,8.108498,0,0,1,2,0
Plant 35_0,0,1,0,0,0,0,0,3.461296,13.54723,0,0,1,2,0
Plant 36_0,0,1,0,0,1,1,0,4.133484,14.3329,0,0,1,2,0
Plant 37_0,0,1,0,0,1,1,0,3.900589,21.44342,0,0,1,2,0
Plant 38_0,0,1,0,0,0,0,0,3.840073,5.730482,0,0,1,2,0
Plant 39_0,0,1,0,0,0,0,0,4.57843,5.731279,0,0,1,2,0
Plant 40_0,0,1,0,0,0,0,0,7.091614,11.11444,0,0,1,2,0
